R&B/Hip-Hop 
Black Beatles
Starboy
24K Magic
Juju On That Beat
Broccoli
Fake Love
Caroline
Party Monster
Bad Things
I Feel It Coming
Pop Songs
Closer
Side To Side
Let Me Love You
Scars To Your Beautiful
Don't Wanna Know
I Hate U I Love U
Starving
Heathens
Unsteady
The Greatest
dance-electronic-songs
Cold Water
In The Name Of Love
Don't Let Me Down
This Is What You Came For
My Way
Rockabye
Never Be Like You
Setting Fires
Shed A Light
Purple Lamborghini
Country Songs
Blue Ain't Your Color
May We All
Wanna Be That Song
Sleep Without You
Song For Another Time
Middle Of A Memory
Dirty Laundry
Better Man
Setting The World On Fire
Star Of The Show
Rock Songs
Unsteady
Ride
Sucker For Pain
HandClap
Hymn For The Weekend
Ophelia
On Hold
Love On The Weekend
Waste A Moment
The One Moment
Artist
The Weeknd
Pentatonix
Bruno Mars
Drake
twenty one pilots
Rae Sremmurd
The Chainsmokers
Ariana Grande
Metallica
Rihanna
Shawn Mendes
Adele
Justin Bieber

